GEG2053-001,공학도를 위한 중국어 기초과정,전체,3,교양선택,Pass/Fail,화-목,4_6-4_6,5동102,이유라
GEG2053-002,공학도를 위한 중국어 기초과정,전체,3,교양선택,Pass/Fail,화-목,7_9-7_9,5남454,이유라
GEG3001-001,생활과 재테크,전체,3,교양선택,상대평가,셀,0_0,웹강의,홍영복
GEG3019-001,성공 중소기업·벤처기업 특강,전체,3,교양선택,Pass/Fail,목,13_18,60주년-609,최근영_이경엽
GEG3019-001,성공 중소기업·벤처기업 특강,전체,3,교양선택,Pass/Fail,목,13_18,60주년-609,최근영_이경엽
GEG3022-001,기업 수요지향기술 종합설계,전체,3,교양선택,Pass/Fail,월-금,19_21-19_21,60주년-610,최종식
GEG3025-001,효율적 기술개발과 기업가 정신,전체,3,교양선택,Pass/Fail,화,16_21,60주년-107,김진상
GEG3025-001,효율적 기술개발과 기업가 정신,전체,3,교양선택,Pass/Fail,화,16_21,60주년-107,김진상
GEG3031-001,경영전략과 스타트업,전체,3,교양선택,Pass/Fail,목,13_18,60주년-712,이남희_박현준
GEG3031-001,경영전략과 스타트업,전체,3,교양선택,Pass/Fail,목,13_18,60주년-712,이남희_박현준
GEG3032-001,기술경영 창업,전체,3,교양선택,Pass/Fail,목,13_18,60주년-610,고환택
GEG3032-001,기술경영 창업,전체,3,교양선택,Pass/Fail,목,13_18,60주년-610,고환택
GEG3043-001,취업을 위한 글쓰기,전체,3,교양선택,상대평가,월,13_18,5남332,정미영
GEG3043-003,취업을 위한 글쓰기,전체,3,교양선택,상대평가,수-목,7_9-4_6,5동115,김명임
GEG3045-001,미디어와 콘텐츠,전체,3,교양선택,상대평가,셀,0_0,웹강의,김만수
GEG3047-001,인간관계와 커리어코칭,전체,3,교양선택,상대평가,월,4_9,5동111,윤태익
GEG3053-001,사회적 기업가정신의 이해,전체,2,교양선택,Pass/Fail,수,4_7,본관소강당,진대현
GEG3053-001,사회적 기업가정신의 이해,전체,2,교양선택,Pass/Fail,수,4_7,본관소강당,진대현
